DSAG,20240209,290.23,291.56,288.86,290.69,47911300
DSAI,20240209,960.81,968.42,959.38,967.53,15678500
DSAL,20240209,94.56,94.56,91.21,91.86,4758900
DSAM,20240209,2698.12,2702.32,2678.97,2690.82,59268200
DSAP,20240209,821.28,834.29,820.66,832.6,234427300
DSAR,20240209,154.58,155.94,152.13,154.59,58956300
DSAS,20240209,1787.27,1794.79,1776.61,1779.82,16108300
DSAT,20240209,446.16,451.56,445.38,450.56,21471200
DSAU,20240209,705.4,717.75,704.98,715.5,212956100
DSAV,20240209,523.96,526.76,517.86,519.94,69073500
DSBC,20240209,1159.78,1168.15,1158.33,1163.88,146660800
DSBD,20240209,1953.21,1966.35,1950.15,1965.5,29059900
DSBE,20240209,138.62,139.39,137.15,138.79,11405200
DSBK,20240209,484.04,486.04,480.72,485.35,256482800
DSBM,20240209,539.85,541.97,537.96,541.97,130887400
DSBS,20240209,323.87,324.35,321.44,322.59,52470400
DSBT,20240209,2806.85,2806.85,2784.97,2791.61,79263700
DSBV,20240209,973.64,973.64,960.3,964.92,44065800
DSCA,20240209,733.73,738.49,729.73,735.63,35459700
DSCC,20240209,724.33,731.12,721.69,731.08,10144600
DSCF,20240209,346.76,349.24,342.79,348.8,43066600
DSCG,20240209,1625.87,1629.47,1614.25,1624.81,262782400
DSCH,20240209,828.09,833.76,825.76,833.76,78416900
DSCM,20240209,516.75,523.61,513.83,519.57,36248900
DSCN,20240209,1532.14,1543.87,1529.91,1543.06,36520600
DSCP,20240209,426.87,430.95,425.64,430.92,26576400
DSCR,20240209,9492.84,9547.62,9451.18,9498,81917500
DSCS,20240209,2456.21,2477.93,2452.35,2469.76,11823600
DSCT,20240209,1645.04,1656.99,1641.31,1654.99,42968400
DSCX,20240209,1077.77,1082.17,1071.1,1082.14,68272300
DSCY,20240209,1602.26,1614.53,1599.82,1611.64,663780600
DSDB,20240209,637.23,637.23,630.01,636.35,2212000
DSDN,20240209,588.65,590.79,586.7,590.27,3969300
DSDR,20240209,1201.2,1203.93,1197.71,1201.72,24432600
DSDS,20240209,778.07,786.42,777.72,785.45,10008800
DSDT,20240209,51.8,52.21,48.44,49.33,3734100
DSDV,20240209,230.46,232.39,229.73,231.55,15528300
DSEC,20240209,618.43,627.61,618.43,626.52,96673300
DSEE,20240209,698.66,707.48,698.53,706.43,112351800
DSEH,20240209,61.57,62.26,61.32,61.87,198400
DSEN,20240209,696.9,700.68,686.22,687.08,205316600
DSES,20240209,258.6,260.76,255.35,260.68,26741500
DSEU,20240209,281.81,284.21,281.48,284.01,91390500
DSFA,20240209,521.02,525.46,519.83,524.08,116838500
DSFB,20240209,750.13,750.13,739.8,741.58,106438600
DSFC,20240209,99.52,100.1,98.21,99.73,47236700
DSFD,20240209,928.47,930.45,925.49,928.34,11285400
DSFE,20240209,1120.83,1128.74,1118.36,1128.25,22100300
DSFH,20240209,361.02,361.02,343.83,349.37,10509400
DSFI,20240209,1777.41,1786.16,1774.02,1784.6,196492300
DSFN,20240209,832.52,836.13,830.18,836.13,689752400
DSFO,20240209,426.21,426.21,418.37,419.66,62372700
DSFP,20240209,620.06,620.06,606.1,608.25,52437900
DSFT,20240209,2134.87,2160.04,2128.52,2152.03,8351100
DSFV,20240209,909.42,913.03,906.38,912.64,0
DSGF,20240209,1992.25,2002.06,1988.45,2000.31,196492300
DSGI,20240209,572.47,576.07,570.72,575.65,37380500
DSGT,20240209,2587.5,2615.81,2581.55,2609.91,154104200
DSGU,20240209,261.03,262.89,260.65,262.09,4832200
DSHB,20240209,2388.42,2400.67,2366.81,2391.25,6162800
DSHC,20240209,1521.1,1523.58,1515.7,1520.73,275672300
DSHD,20240209,138.84,138.84,134.17,134.44,19472800
DSHG,20240209,1054.39,1054.39,1044.47,1047.13,50573400
DSHI,20240209,779.83,781.95,774.94,780.73,8019400
DSHL,20240209,104.08,104.4,102.8,104.18,4304300
DSHN,20240209,1239.59,1239.59,1226.09,1230.04,14428300
DSHP,20240209,3195.47,3207.81,3185.9,3206.44,44878500
DSHR,20240209,4274.42,4276,4227.63,4242.77,25267000
DSHV,20240209,1134.33,1149.05,1132.52,1147.55,7460600
DSIB,20240209,661.94,668.83,661.02,668.83,4920300
DSID,20240209,653.99,657.46,651.46,656.59,10804100
DSIF,20240209,67.11,67.99,66.87,67.9,3496400
DSIG,20240209,1167.84,1172.46,1165.08,1171.55,404969700
DSIL,20240209,1062.61,1066.72,1056.02,1066.12,15158300
DSIM,20240209,517.2,518.37,514.49,516.29,37640100
DSIN,20240209,1123.58,1128.44,1121.11,1127.6,441490300
DSIO,20240209,113.23,114.19,112.17,113.61,23357000
DSIP,20240209,1538.24,1555.73,1538.24,1554.29,18080000
DSIQ,20240209,3727.85,3730.09,3706.01,3726.77,47367300
DSIR,20240209,1113.08,1123.57,1111.96,1123.18,43411900
DSIS,20240209,804.25,809.46,803.63,808.13,162857800
DSIT,20240209,1681.23,1681.23,1668.88,1680.23,24934400
DSIU,20240209,483.72,487.15,479.01,486.03,1756700
DSIV,20240209,1256.85,1264.12,1252.31,1261.93,19850600
DSIX,20240209,1100.26,1111.9,1100.23,1111.53,28253500
DSLE,20240209,758.7,764.6,752.73,761.88,46026900
DSLG,20240209,3574.6,3574.6,3520.1,3539.75,4871900
DSLW,20240209,1572.32,1578.34,1568.33,1576.86,0
DSMC,20240209,2376.92,2382.51,2368.31,2378.97,112211800
DSME,20240209,818.38,823.54,816.84,820.04,222461300
DSMF,20240209,9.44,9.55,9.24,9.41,8719200
DSMG,20240209,75.41,75.41,74.16,74.57,14299700
DSMR,20240209,28.36,28.56,28.23,28.53,20401800
DSMS,20240209,1519.47,1532.41,1511.91,1525.87,8065000
DSMT,20240209,276.91,279.28,276,279.08,371400
DSMU,20240209,212.5,214.26,212.46,214.23,21042500
DSNC,20240209,833.43,833.61,829.21,832.66,537954000
DSNF,20240209,506.18,506.45,498.42,499.76,15816800
DSNG,20240209,947.04,947.04,942.77,945.86,197088100
DSNS,20240209,3998.14,4036.63,3982.53,4021.32,130574700
DSOG,20240209,827.38,832.17,812.59,813.63,127833300
DSOI,20240209,274.43,274.98,269.79,271.07,47951500
DSOL,20240209,718.26,723.53,703.44,703.9,37698900
DSOQ,20240209,372.94,374.21,369.08,370.32,74735600
DSOS,20240209,1034.17,1038.46,1018.78,1020.76,90134400
DSPB,20240209,687.03,694.99,684.79,690.69,6726900
DSPC,20240209,544.55,545.54,541.29,543.66,4754500
DSPG,20240209,695.01,701.34,692.91,699.75,87666700
DSPL,20240209,686.67,690.86,683.43,684.94,26784100
DSPM,20240209,83.23,83.23,81.76,82.22,12279100
DSPN,20240209,1151.11,1152.7,1146.92,1150.16,163460500
DSPR,20240209,902.83,907.73,900.83,906.14,84196800
DSRA,20240209,1410.97,1420.37,1408.69,1415.56,11782300
DSRB,20240209,3550.19,3607.6,3545.12,3598.43,84841200
DSRD,20240209,970.53,974.45,967.25,971.77,13147200
DSRE,20240209,336.49,337.79,333.66,337.51,193365200
DSRH,20240209,546.14,550.68,539.45,550.49,26939900
DSRI,20240209,138.09,138.66,136.94,138.46,166425200
DSRL,20240209,87.46,88.29,86.59,87.8,24469200
DSRN,20240209,212.22,212.77,211.29,212.7,16595100
DSRP,20240209,512.46,515.07,508.96,513.39,3562200
DSRQ,20240209,97.94,98.07,94.73,95.66,74575900
DSRR,20240209,3538,3541.55,3511.85,3538.76,12380800
DSRS,20240209,2745.26,2747.48,2729.88,2737.86,37637600
DSRT,20240209,2325.41,2349.42,2320.35,2344.56,178536900
DSRU,20240209,2819.91,2830.5,2814.84,2818.36,26361200
DSSB,20240209,1916.62,1932.85,1915.03,1931.35,61542500
DSSC,20240209,13452.5,13733.21,13419.44,13724.23,265238100
DSSD,20240209,911.31,911.31,897.46,902.41,39764300
DSSF,20240209,583.26,586.02,582.06,584.56,66396100
DSSP,20240209,592.36,594.71,590.46,594.71,11923000
DSSR,20240209,236.67,237.44,234.69,237.44,73563400
DSST,20240209,653.72,657.25,652.91,656.96,17064300
DSSV,20240209,6194.85,6255.04,6187.02,6242.36,540519400
DSSW,20240209,6821.72,6892.29,6821.72,6882.49,394416300
DSTB,20240209,638.02,640.57,635.47,639.08,12820900
DSTC,20240209,5592.68,5652.38,5583.18,5645.59,930643600
DSTK,20240209,1953.36,1970.7,1930.48,1962.89,5245400
DSTL,20240209,136.91,137.36,135.37,136.99,70186400
DSTP,20240209,1223.2,1229.83,1222.39,1228.85,0
DSTQ,20240209,5637.12,5703.48,5624.1,5701.69,390124100
DSTT,20240209,1049.92,1058.17,1040.45,1055.96,62557100
DSTY,20240209,1100.61,1110.74,1090.44,1105.94,42464700
DSUO,20240209,295.54,297.86,295.38,297.69,28717200
DSUT,20240209,295.02,297.43,294.81,297.27,120107700
DSVE,20240209,282.48,284.9,282.16,284.7,90219900
DSVN,20240209,506.81,510.23,504.46,506.46,2089500
DSWC,20240209,339.98,341.12,336.44,339.93,22949700
DSWU,20240209,2513.8,2533.92,2501.72,2524.95,2842400
DTCI,20240209,1930.14,1940.34,1916.4,1938.13,0
DTEI,20240209,2360.44,2372.92,2343.08,2369.47,0
DTFD,20240209,95,95,60,95,0
DTFI,20240209,75,80,70,80,0
DTFX,20240209,114.65,114.83,114.5,114.69,0
DTOF,20240209,70,70,70,70,0
DTOH,20240209,80,80,80,80,0
DTTH,20240209,65,65,65,65,0
DTTW,20240209,80,80,70,80,0
DTWC,20240209,30836.55,30880.51,30721.39,30859.57,0
DTWI,20240209,95302.61,95319.17,94912.74,95168.16,0
DTWT,20240209,27582.43,27713.18,27424.6,27706.57,0
DTWU,20240209,4177.56,4198.07,4162.51,4192.45,0
